522,55,55,27,56,26,1
652,101,113,51,184,113,2
650,71,88,35,143,73,3
1148,68,70,36,136,79,4
1799,135,166,58,292,225,5
2751,246,134,107,439,185,6
3513,248,142,76,339,138,7
3771,285,134,92,318,195,8
3526,278,192,149,237,178,9
3939,203,154,87,261,123,10
6680,387,195,137,496,190,11
10585,931,537,369,1349,569,12
11777,939,548,340,1351,520,13
14350,980,507,302,700,319,14
12134,885,278,204,469,236,15
10408,789,215,215,354,198,16
11648,681,197,190,300,142,17
9527,635,154,130,219,137,18
8683,745,148,141,282,104,19
6937,499,162,143,234,144,20
5244,343,225,77,219,54,21
4090,305,159,72,437,80,22
2367,187,108,50,198,41,23
1756,169,91,71,205,61,24
1116,150,110,54,171,62,25
944,164,115,60,194,78,26
501,125,95,35,234,68,27
464,121,61,59,157,55,28
372,98,76,39,91,38,29
322,102,114,39,74,24,30
269,95,84,32,61,26,31
285,75,71,15,53,14,32
277,91,82,27,52,25,33
220,38,72,23,99,29,34
201,67,134,147,327,143,35
256,59,65,38,135,71,36
261,69,159,70,185,83,37
358,47,95,32,179,42,38
435,78,95,49,198,44,39
428,86,94,79,318,140,40
462,90,91,44,200,72,41
465,123,204,64,264,145,42
600,141,205,61,144,197,43
526,85,81,87,396,135,44
684,85,86,49,184,83,45
548,82,81,39,195,79,46
897,111,127,64,287,119,47
874,110,155,71,297,108,48
1042,86,76,48,319,121,49
992,126,96,62,374,142,50
574,126,69,56,158,49,51
260,84,107,20,178,67,52
2125,268,184,136,463,136,53
2429,130,126,84,167,112,54
3144,160,91,41,272,118,55
3592,101,133,59,398,91,56
4023,109,137,73,466,106,57
4954,109,92,37,252,105,58
5954,127,160,113,330,168,59
7011,118,70,40,125,63,60
10135,219,109,69,318,104,61
12315,286,137,63,247,82,62
12350,247,160,144,313,105,63
15331,297,127,71,218,94,64
16345,312,99,77,256,80,65
16723,308,95,58,200,74,66
21106,336,92,98,428,125,67
24751,511,137,87,453,149,68
24249,668,192,253,751,220,69
21802,491,123,130,311,170,70
20552,627,153,184,336,133,71
17914,496,168,111,463,99,72
16053,358,124,73,230,104,73
12795,421,163,92,191,93,74
8882,312,56,50,91,47,75
7183,268,78,50,125,41,76
4854,210,55,48,84,36,77
3374,175,56,45,82,56,78
2465,191,53,46,64,36,79
1610,155,61,46,85,42,80
1252,98,53,23,50,33,81
909,85,76,55,81,38,82
1012,99,79,46,46,32,83
879,50,53,28,30,17,84
914,46,50,19,54,20,85
743,52,41,18,25,21,86
532,51,49,15,59,14,87
385,36,76,16,15,14,88
438,66,62,21,86,19,89
435,49,39,25,36,39,90
332,20,68,41,106,19,91
368,37,51,22,62,13,92
326,36,49,22,36,13,93
410,50,43,24,59,35,94
425,56,52,21,79,23,95
393,38,45,16,75,25,96
391,42,49,18,45,15,97
335,60,37,26,67,10,98
374,74,56,14,68,17,99
513,55,37,26,211,36,100
543,85,61,16,59,23,101
635,58,52,17,64,23,102
545,65,78,23,73,17,103
484,44,26,26,36,24,104
1144,71,55,26,62,39,105
1618,105,75,39,310,49,106
1723,186,91,52,273,88,107
2175,170,79,43,318,90,108
2589,159,82,41,179,54,109
2605,173,83,41,203,72,110
3385,183,86,33,116,46,111
6205,351,139,50,200,78,112
7403,399,103,58,374,107,113
7701,387,58,60,207,94,114
10415,535,107,97,360,94,115
10511,663,135,207,325,134,116
10340,708,229,132,398,90,117
12817,795,155,139,356,123,118
12792,1027,263,237,529,174,119
10727,712,129,162,347,145,120
7610,483,124,106,204,108,121
5384,372,87,62,200,80,122
4392,300,80,50,115,57,123
3123,244,74,50,81,32,124
2372,166,62,52,55,27,125
1506,171,49,33,61,20,126
1129,140,52,27,89,17,127
928,117,52,20,34,13,128
743,114,45,58,38,18,129
531,103,52,18,44,20,130
411,78,60,18,27,17,131
352,77,43,23,49,15,132
299,60,38,20,14,17,133
157,41,65,8,17,9,134
182,106,81,29,60,24,135
132,125,74,10,83,29,136
101,49,35,20,62,10,137
134,83,36,27,91,17,138
98,45,40,20,36,26,139
105,45,31,22,21,23,140
133,30,22,10,45,19,141
94,52,44,18,30,76,142
133,45,41,10,64,13,143
100,44,41,8,53,20,144
103,36,37,12,34,14,145
99,36,28,15,50,17,146
127,39,45,24,52,16,147
133,50,32,27,33,24,148
82,40,30,24,38,17,149
118,50,32,17,28,16,150
175,64,41,19,216,39,151
203,59,43,14,38,31,152
213,49,23,35,33,14,153
175,53,34,26,42,22,154
91,64,85,18,54,21,155
80,47,51,16,32,24,156
188,9,12,9,9,7,157
