22,10,4,0,11,10
22,5,5,5,31,6
50,8,1,2,17,18
80,8,11,5,20,5
110,12,9,15,44,22
166,15,11,10,54,33
158,23,7,10,34,14
164,16,11,6,55,16
181,9,7,10,28,17
354,20,16,14,33,24
517,38,14,10,24,15
526,26,10,1,16,7
431,11,11,7,9,12
167,5,6,3,9,4
45,5,3,3,10,2
21,6,0,0,11,2
8,4,0,0,11,1
6,2,6,1,10,0
0,8,5,2,14,2
5,4,5,0,3,5
0,1,6,2,5,2
0,1,8,1,4,5
1,3,2,3,10,4
0,1,4,1,9,6
0,1,3,7,7,7
3,2,6,2,13,2
4,4,2,4,12,5
2,3,2,1,20,1
3,3,10,1,6,4
2,3,9,9,13,7
7,1,4,1,13,2
2,1,7,2,13,2
4,4,4,3,42,3
8,3,8,1,18,4
0,2,8,0,9,2
9,6,6,4,12,1
19,6,3,2,11,4
12,6,5,3,22,13
15,9,6,0,20,4
15,4,2,0,10,8
6,0,1,2,19,6
8,3,4,1,1,2
13,5,7,1,12,2
6,3,4,2,11,0
6,0,1,3,18,6
9,3,0,0,7,0
9,0,2,0,13,2
3,6,4,1,12,2
16,1,2,0,4,1
14,4,1,3,8,1
1,4,2,0,21,0
4,2,3,2,2,1
0,5,2,0,2,6
6,8,0,3,1,3
4,3,1,0,5,0
4,1,3,0,0,0
1,1,1,0,3,4
3,0,0,1,0,1
0,0,2,0,3,0
0,0,1,0,0,0
4,0,1,0,2,0
1,1,1,0,0,0
0,0,4,2,1,1
1,0,2,0,3,1
0,1,2,0,0,0
3,0,0,0,0,0
3,0,0,0,1,0
2,0,1,1,2,0
1,2,1,1,5,0
3,0,4,0,0,1
3,0,3,0,3,1
8,0,1,1,4,1
4,2,5,0,5,0
2,1,0,0,4,1
3,3,2,1,1,2
13,0,1,0,0,0
39,2,1,0,2,0
29,5,2,1,2,4
41,5,6,2,10,11
56,7,5,0,1,3
74,2,6,1,15,1
129,7,4,4,8,0
222,11,4,1,6,0
307,5,6,5,11,4
450,8,1,0,2,4
608,17,3,3,7,4
775,21,7,5,17,4
1462,37,11,4,28,8
966,26,5,6,10,4
659,17,5,2,5,3
410,12,2,1,4,7
206,8,2,1,0,2
68,9,6,1,5,0
21,0,2,6,2,6
4,5,2,0,1,3
4,8,2,1,5,1
3,3,9,2,1,1
0,2,3,1,3,0
5,4,4,0,2,0
4,4,3,0,1,0
4,2,2,1,1,2
0,2,0,3,4,1
3,1,1,0,1,0
9,0,2,0,0,0
1,0,2,0,0,0
1,0,4,1,3,1
1,2,0,0,0,0
6,4,5,1,4,0
11,2,2,0,1,0
6,0,0,0,0,0
