184,3,3,0,3,1,1
193,5,3,3,15,3,2
194,13,5,5,11,11,3
220,9,2,0,30,3,4
163,2,5,2,14,5,5
267,9,3,5,13,11,6
168,6,4,2,11,15,7
175,6,3,1,26,25,8
237,7,3,4,67,21,9
277,5,3,2,31,4,10
309,4,13,13,36,20,11
373,11,8,4,39,42,12
353,7,14,3,17,24,13
397,6,9,2,40,26,14
394,4,1,0,22,14,15
339,7,7,2,4,12,16
369,11,3,2,11,8,17
586,10,3,2,6,3,18
687,13,3,1,9,0,19
567,4,1,1,3,0,20
669,11,1,2,3,3,21
694,10,7,5,8,1,22
615,11,8,1,2,4,23
653,9,4,2,3,0,24
416,4,6,2,12,0,25
416,8,2,1,5,3,26
383,0,2,1,9,2,27
319,4,2,0,3,1,28
268,4,3,0,5,1,29
205,1,4,0,7,0,30
202,6,1,2,1,0,31
191,4,2,2,3,3,32
199,5,1,0,0,0,33
174,0,1,0,2,0,34
188,7,5,3,5,3,35
159,3,4,0,2,0,36
178,9,4,1,8,1,37
181,1,8,0,4,1,38
209,3,2,1,3,0,39
112,1,2,3,12,5,40
148,5,2,4,5,1,41
159,5,3,1,1,2,42
231,0,2,1,5,1,43
154,0,1,3,7,2,44
155,4,3,2,16,3,45
200,1,1,2,6,2,46
261,0,3,2,5,1,47
300,6,3,0,16,2,48
361,3,4,0,18,3,49
342,3,3,3,12,1,50
345,6,5,0,1,0,51
287,8,2,1,2,0,52
348,10,10,6,5,5,53
434,8,3,4,5,4,54
480,5,3,6,11,5,55
526,5,3,2,4,2,56
620,6,8,2,10,0,57
717,10,2,3,7,1,58
680,13,9,3,35,3,59
556,3,4,4,14,5,60
638,6,5,2,16,2,61
557,3,2,1,14,0,62
536,9,5,4,13,1,63
693,6,2,3,4,3,64
630,5,5,3,15,9,65
574,4,1,0,1,0,66
517,3,1,3,6,1,67
517,5,0,0,2,0,68
601,11,6,6,11,1,69
444,5,2,0,1,2,70
423,6,2,1,4,1,71
469,3,3,0,7,0,72
336,3,0,0,0,2,73
205,4,6,1,3,2,74
228,2,0,0,1,0,75
263,3,0,1,0,1,76
179,3,1,1,6,2,77
179,4,1,0,0,0,78
125,1,2,0,2,0,79
103,5,1,0,10,4,80
117,0,0,0,0,0,81
82,0,5,2,2,1,82
52,1,4,1,0,2,83
79,0,1,0,0,0,84
65,1,0,1,1,0,85
64,2,1,0,1,1,86
29,1,1,1,1,0,87
33,5,2,0,1,1,88
41,2,1,0,0,0,89
37,0,1,0,5,1,90
58,0,2,0,1,0,91
55,0,0,1,3,0,92
31,2,0,1,0,0,93
74,2,1,1,1,1,94
109,2,1,1,5,2,95
101,1,0,2,3,1,96
78,2,1,0,4,2,97
90,0,1,0,0,0,98
83,4,1,2,1,1,99
171,0,4,1,6,3,100
160,1,0,1,0,1,101
122,1,3,1,0,2,102
84,1,0,0,2,0,103
112,0,2,0,0,0,104
209,2,1,2,1,2,105
247,1,0,2,1,5,106
263,2,1,1,2,1,107
266,7,2,3,6,3,108
388,0,1,3,11,4,109
378,7,2,6,11,6,110
450,3,2,1,2,2,111
466,3,7,1,6,7,112
517,10,7,0,17,16,113
432,8,6,8,11,14,114
494,4,4,4,7,4,115
457,3,3,5,1,4,116
508,8,1,3,3,4,117
522,7,4,2,6,2,118
546,6,1,4,4,3,119
605,4,5,6,6,3,120
652,1,3,1,3,2,121
385,4,1,0,2,1,122
366,4,0,4,4,0,123
330,0,1,0,0,0,124
297,1,3,2,0,0,125
207,3,1,0,2,3,126
191,2,0,3,1,1,127
212,4,1,0,0,0,128
159,2,2,2,0,0,129
106,2,1,0,0,0,130
70,1,1,1,0,0,131
71,2,2,0,0,0,132
52,0,1,0,0,0,133
35,1,1,0,0,0,134
61,2,1,0,0,0,135
57,2,4,1,0,0,136
73,1,2,1,0,0,137
72,2,0,0,1,2,138
50,0,0,0,1,0,139
44,0,0,0,6,1,140
44,1,0,0,1,0,141
67,1,1,2,0,2,142
81,0,0,1,5,0,143
51,2,1,0,0,1,144
61,0,0,0,0,1,145
77,0,0,0,1,0,146
75,0,0,0,1,1,147
88,1,1,1,2,1,148
108,1,1,0,1,0,149
89,0,0,0,1,1,150
141,0,0,1,11,2,151
131,1,1,0,0,4,152
144,0,1,2,4,0,153
127,2,2,1,3,0,154
114,0,1,0,6,0,155
77,1,3,0,1,0,156
191,1,2,1,0,0,157
